,vehicle_id,origin,time_at_origin,next_stop,arrival_time_at_next_Stop,distance,peak,time_of_day,mode,temp,humidity,cloudCover,visibility,weekend,prediction_correct,status
5155,LK16DEU,Harmondsworth Lane,2018-11-19 13:51:38+00:00,Harmondsworth Road,2018-11-19 13:53:37+00:00,1075,no,Afternoon,bus,8.05,0.73,0.51,10.01,no,yes,0.9833333333333333
2215,LK16DDN,Berberis Walk,2018-11-19 16:01:04+00:00,Harmondsworth Road,2018-11-19 16:02:12+00:00,325,no,Afternoon,bus,6.99,0.75,0.33,10.01,no,yes,0.13333333333333333
4288,YX10BFK,Berberis Walk,2018-11-19 17:02:55+00:00,Harmondsworth Road,2018-11-19 17:04:01+00:00,325,yes,Evening,bus,6.67,0.78,0.89,9.99,no,yes,0.1
988,LK08FLD,Harmondsworth Lane,2018-11-19 17:26:28+00:00,Harmondsworth Road,2018-11-19 17:28:42+00:00,1075,yes,Evening,bus,6.33,0.8,0.57,9.88,no,no,1.2333333333333334
1034,LK08FLD,Berberis Walk,2018-11-19 18:55:03+00:00,Harmondsworth Road,2018-11-19 18:56:08+00:00,325,yes,Evening,bus,5.25,0.85,0.68,9.99,no,yes,0.08333333333333333
956,LK08FLD,Harmondsworth Lane,2018-11-19 19:37:03+00:00,Harmondsworth Road,2018-11-19 19:38:53+00:00,1075,no,Evening,bus,5.11,0.87,0.69,9.87,no,yes,0.8333333333333334
2887,LK16DEU,Harmondsworth Lane,2018-11-21 12:13:59+00:00,Harmondsworth Road,2018-11-21 12:15:43+00:00,1075,no,Afternoon,bus,7.26,0.71,0.42,10.01,no,no,0.7333333333333333
1759,LK08FND,Berberis Walk,2018-11-21 14:02:15+00:00,Harmondsworth Road,2018-11-21 14:03:36+00:00,325,no,Afternoon,bus,6.96,0.65,0.47,10.01,no,yes,0.35
2474,LK16DDU,Berberis Walk,2018-11-21 21:05:13+00:00,Harmondsworth Road,2018-11-21 21:06:07+00:00,325,no,Night,bus,2.04,0.86,0.66,8.03,no,no,-0.1
2280,LK16DDN,Berberis Walk,2018-11-22 12:31:28+00:00,Harmondsworth Road,2018-11-22 12:32:17+00:00,325,no,Morning,bus,4.87,0.89,0.7,3.99,no,yes,-0.18333333333333332
